_,_,g,g,,n,0,_,_,_
_,_,_,0,,,0,_,_,_
_,_,_,0,,,0,_,_,_
g,_,_,0,,,0,_,g,_
_,_,_,0,,,0,_,_,_
_,_,_,0,,,0,_,_,g
_,_,0,p,,,q,0,_,_
_,0,p,,,,,q,0,_
0,p,,,,s,,,q,0
p,,,,,,,,,q
,,,,,,,,n,
g,g,g,,,d,0,b,,
_,_,_,_,_,0,0,g,,
,g,,,,q,0,g,,
,g,g,b,,,,,,
_,g,g,0,n,,,,,
,q,0,p,,,,,,
,,,,,d,g,b,,
,,,,,0,g,0,_,_
,,,,,q,0,p,,
,,,,,n,,,,
,,d,0,b,,,,,
_,_,0,g,0,,,,,
,,q,0,p,,,,,
,,,,,,d,0,b,
,g,,,,,0,0,0,_
,g,,,,,q,0,p,
0,0,_,0,,,0,_,0,g
0,0,,0,,,0,g,g,g
0,0,_,0,,,0,_,0,g
,,,n2,,,,,n1,
0,_,0,,0,0,_,0,,
0,g,0,,0,g,g,0,,
0,_,0,,0,0,_,0,,
,,,,,,,,,g
,,,,,n1,,,,
_,0,0,,,,0,_,0,0
,0,0,,g,,0, ,0,0
_,0,0,,,,0,_,0,0
g,,,,,,,,,
g,,,,,,,,,
,,,o,n1,n2,,,,
_,_,0,0,,,0,0,0,_
,,g,,,,,,,
,g,,n1,n2,,,,,g
_,0,0,,,0,0,_,0,_
,g,n1,n2,,,,,,
0,0,,,0,0,_,_,0,_
g,n1,n2,g,,,g,,,
0,,,0,0,_,_,_,0,_
,,n1,n2,,,,,,g
g,g,,,,,g,,,
0,0,,,0,g,_,_,0,_
g,,,n1,n2,,,,,g
_,0,0,,,0,0,_,0,_
,,,,,,,,,g
,,g,,n1,n2,g,,o,
_,_,0,0,,,0,0,0,_
,,,,,g,,,,
,g,,,n,,,,,
,,,,,g,,,,
_,0,0,,,,,0,0,_
,,,,,,,g,,
 ,,n1,,,,g,,n2,g
,,, ,,,,g,,
,,,d,0,0,b,,,
b,,,0,0,0,0, ,,
0,b,,q,0,0,p,,,
0,0,,,0,0,b,,,0
0,g,, ,0,0,0,b,,
0,0, , ,0,g,0,0,,
g,p, ,n1,0,g,0,0,,
0, , , ,0,0,0,0,,g
0,, , ,g,g,0,p,,
p,, , ,0,0,0,,,
,, ,,0,0,p,,s2,
,,, ,0,0,,,,
,, , , ,,,,,d
,, , , ,,,,d,0
,, , , ,,,d,0,0
,,,,,,d,g,0,g
b,,o,,,,0,0,0,0
0,,,s,,,q,0,g,g
0,b,,,,, ,0,g,g
0,0,,,,,,0,0,0
g,0,b,,,,, ,q,0
g,g,0,b,,,,,,0
g,0,0,0,b,,,,,q
0,0,0,0,0,b,,,n,
0,g,0,g,0,0,b,,,
0,g,0,0,0,0,0,0,,
0,g,0,0,0,g,0,0,,
0,0,0,g,g,0,g,0,,
0,0,g,g,g,0,0,p,,
0,g,g,0,0,0,0,,,
0,g,0,g,0,0,0,,,
0,0,0,g,0,0,p,,,
0,0,0,0,0,p,,,s2,
0,g,0,0,0,,,,,
0,g,0,0,p,,,,,n1
0,0,0,p,,,,,,
0,0,0,,,,,,,
0,0,p,n2,,d,0,0,b,
0,0,,,,0,g,0,0,
0,p,,,d,g,g,0,0,
0,,,,0,0,0,0,p,
0,,,,q,0,0,p,,o
p,,,,,,,,,
,,,,,,n,,,
g,0,0,_,0,g,g,g,0,_
,n,,,,,,,,
g,g,_,_,_,_,_,0,0,0
,,,,,,g,,,
,,,,g,n,,,,
,,,g,,,,,g,
,,,,,,g,,,
,,,,g,,,,,
,g,,,,,,,,
_,_,0,0,,,0,0,_,_
,g,,,,,,,,
,n1,g,,,,,n2,,
,g,,,,,,,,
,,,,,,,g,,
,,0,_,_,0,,,0,_
,,,,,,,g,n2,
,,,,,,,,g,
,g,,,0,_,_,0,,
,,,n1,,,,,,
,,,,,,,s2,,
_,_,0,,,,,,,
,,n,,,,,,,
,,,,,,,0,_,_
,,,,,,,,0,0
0,0,,,,,,,,
,,,,,,,,0,0
0,0,,,,,,,,
,,,,,,,,0,0
0,0,,,,,,,,
,,,,,,,n,0,0
0,0,,,,,,,,
,,,,,,,,0,0
0,0,,,,n,,,,
,,,,,,,,0,0
0,0,,,,,,,,
